,loss,Q
0,0.008381773717701435,-0.025264492258429527
1,0.0046374741941690445,-0.04011755436658859
2,0.0016386876814067364,-0.04078118875622749
3,0.0033116531558334827,0.009495915845036507
4,0.0015981945907697082,-0.0451919361948967
5,0.0019655332434922457,-0.091547392308712
6,0.002652821596711874,-0.10933198034763336
7,0.003284307662397623,-0.04992508888244629
8,0.0028990874998271465,-0.07651704549789429
9,0.0022666379809379578,-0.07195524126291275
10,0.00019515861640684307,-0.013710085302591324
11,0.00021135582937859,0.012734485790133476
12,0.0001431304553989321,-0.034344643354415894
13,0.0004111207672394812,-0.03352279216051102
14,0.00020843837410211563,-0.004232555627822876
15,0.0003728580486495048,-0.01614866591989994
16,0.00020126093295402825,-0.008089647628366947
17,0.00019104982493445277,0.0011315792798995972
18,0.00014783459482714534,-0.013864703476428986
19,0.00021937863493803889,-0.003789246082305908
20,0.00010102101805387065,-0.015613826923072338
21,0.009873851202428341,-0.0040546003729105
22,1.1866757631651126e-05,-0.015776049345731735
23,5.215181226958521e-05,0.008304988965392113
24,0.009754296392202377,-0.0077637676149606705
25,2.9410075512714684e-05,0.012354552745819092
26,0.00018231694411952049,-0.022278212010860443
27,0.0001720002037473023,0.021210860460996628
28,0.0006226497353054583,-0.012495824135839939
29,5.230470560491085e-05,-0.013412988744676113
30,4.5790031435899436e-05,-0.016690723598003387
31,5.6997942010639235e-06,-0.01635335385799408
32,7.92171194916591e-05,0.006753584370017052
33,0.0003529974783305079,-0.01711764931678772
34,7.929872481327038e-06,-0.00994301587343216
35,3.757554441108368e-05,-0.01422883104532957
36,7.088707207003608e-06,-0.00957796536386013
37,1.5051429727463983e-05,-0.008945118635892868
38,0.018776647746562958,-0.011184641160070896
39,0.0001500181679148227,-0.010801803320646286
40,5.7369475143786985e-06,-0.012510514818131924
41,3.3316937333438545e-05,-0.0157725028693676
42,1.600383620825596e-05,-0.01390364021062851
43,2.0746385871461825e-06,-0.013320893980562687
44,4.331046966399299e-06,-0.014407724142074585
45,0.010180559009313583,-0.015734730288386345
46,2.7104000764666125e-05,-0.012949876487255096
47,0.0002771510917227715,-0.016715513542294502
48,2.197484491262003e-06,-0.016324864700436592
49,5.064776632934809e-05,-0.012881392613053322
50,0.009022758342325687,-0.012906291522085667
51,0.00038163442513905466,-0.01673857681453228
52,1.1431925486249384e-06,-0.011732460930943489
53,2.248119244541158e-06,-0.011946067214012146
54,1.5872676613071235e-06,-0.016056649386882782
55,5.652784238918684e-06,-0.017577223479747772
56,0.003950829152017832,-0.013896558433771133
57,0.00047250959323719144,-0.013166352175176144
58,8.894057828001678e-06,-0.015027609653770924
59,2.7007763492292725e-05,-0.012928249314427376
60,0.00871332548558712,-0.014950298704206944
61,5.370538929128088e-06,-0.01432251837104559
62,1.6810928400445846e-06,-0.014821343123912811
63,5.1063354476355016e-05,-0.013531333766877651
64,3.7770681956317276e-05,-0.012593762017786503
65,2.5495151021459606e-06,-0.01478112954646349
66,0.00013038472388871014,-0.014987058937549591
67,2.0120962744840654e-06,-0.011041998863220215
68,2.086065615003463e-05,-0.033815231174230576
69,1.2695056739175925e-06,-0.014392467215657234
70,9.483783287578262e-06,0.003420138731598854
71,4.550642188405618e-06,-0.01504379604011774
72,3.0514811442117207e-06,-0.011419382877647877
73,8.059410902205855e-06,-0.013908498920500278
74,2.6187744879280217e-06,-0.015096060000360012
75,1.8370765246800147e-05,-0.013350188732147217
76,7.094958709785715e-05,-0.014193057082593441
77,1.982206640605e-06,-0.015369109809398651
78,4.731035005534068e-06,-0.015379097312688828
79,3.276403731433675e-05,-0.03039579465985298
80,0.010281279683113098,-0.014322214759886265
81,0.010901027359068394,-0.013837040401995182
82,0.0015733807813376188,-0.010736316442489624
83,1.5708525097579695e-05,-0.014418372884392738
84,1.65444703270623e-06,-0.015804514288902283
85,2.255805384265841e-06,-0.015233958140015602
86,4.4546862909555784e-07,-0.01466959249228239
87,1.6840264152051532e-06,-0.016129596158862114
88,1.5158148016780615e-05,-0.014870569109916687
89,5.863016212970251e-06,-0.03992471843957901
90,2.8586762255145004e-06,-0.014405732043087482
91,2.0678813598351553e-05,-0.015033618547022343
92,2.4169773951143725e-06,-0.014404636807739735
93,6.781252068321919e-06,-0.014516937546432018
94,1.5449413695023395e-05,-0.01503700204193592
95,4.565793460642453e-06,-0.014348773285746574
96,3.9256054151337594e-05,-0.01552238967269659
97,1.9081051050306996e-06,-0.013453892432153225
98,1.134064768848475e-05,-0.01512734405696392
99,3.3492964575998485e-05,-0.01585960015654564
100,0.00013043961371295154,-0.014851381070911884
101,1.2443069863365963e-05,-0.015237768180668354
102,4.884325971943326e-05,-0.014666546136140823
103,5.500115548784379e-06,-0.01427321694791317
104,3.492812368222076e-07,-0.01584557630121708
105,2.106764753762036e-07,-0.01610429212450981
106,6.796023171773413e-06,-0.03639327734708786
107,1.067831590262358e-06,-0.016316791996359825
108,0.0004897460457868874,-0.01535671018064022
109,1.2009705869786558e-06,-0.015260053798556328
110,4.3168121919734403e-05,-0.014695048332214355
111,1.6245805909420596e-06,-0.01432978268712759
112,4.893933237326564e-06,-0.015238313004374504
113,4.548695869743824e-05,-0.013904588297009468
114,2.047684347417089e-06,-0.014660988934338093
115,8.995088865049183e-05,-0.010659685358405113
116,1.204276372845925e-06,-0.014881349168717861
117,1.7256375883789588e-07,-0.014895292930305004
118,2.9199677555880044e-06,-0.014854407869279385
119,0.0018395415972918272,-0.015067268162965775
120,7.934910536278039e-05,-0.012929273769259453
121,3.3091890827563475e-07,-0.014657018706202507
122,0.00010312416270608082,-0.015084268525242805
123,0.00017462258983869106,-0.014788568019866943
124,6.237125489860773e-06,-0.015284853987395763
125,0.00014378377818502486,-0.015590664930641651
126,0.0006869637873023748,-0.01532840821892023
127,1.1118518159491941e-05,-0.016612721607089043
128,8.03228685981594e-05,-0.014573410153388977
129,1.0075081263494212e-05,-0.01546501088887453
130,0.0014279113383963704,-0.025224287062883377
131,2.4300550649059005e-05,-0.008929161354899406
132,1.1592618420763756e-06,-0.015910696238279343
133,5.3622399718733504e-05,-0.015971463173627853
134,3.1182014481601072e-06,-0.014792009256780148
135,6.263109753490426e-06,-0.015744488686323166
136,2.719710664678132e-06,-0.013722642324864864
137,3.800739705184242e-07,-0.015041052363812923
138,1.8872833607019857e-06,-0.015167170204222202
139,5.8446785260457546e-06,-0.015314131043851376
140,7.99487952463096e-06,-0.015342318452894688
141,9.872094324236969e-07,-0.015153365209698677
142,8.849551136336231e-07,-0.7919334173202515
143,7.5175950087214e-07,-0.014953087083995342
144,7.629144249676756e-08,-0.0150316022336483
145,1.0547224519541487e-05,-0.014975447207689285
146,0.00012486623018048704,-0.01834639348089695
147,3.0145607524900697e-05,-0.01525621023029089
148,5.121136837260565e-06,-0.014740543439984322
149,3.125891453237273e-06,-0.01514433417469263
150,4.817511580768041e-07,-0.01441371999680996
151,0.0008807339472696185,-0.015493452548980713
152,2.7119433070765808e-05,-0.015552381053566933
153,7.981308840498968e-07,-0.015487237833440304
154,6.840904825367033e-05,-0.014627545140683651
155,1.962535179700353e-06,-0.014952483586966991
156,2.2006079234415665e-06,-0.014437587931752205
157,1.2183547823951812e-06,-0.0153836440294981
158,0.0004383738851174712,-0.01546590868383646
159,6.592032605112763e-06,-0.04547805339097977
160,6.067910362617113e-05,-0.01489142794162035
161,1.7584156012162566e-05,-0.014708259142935276
162,2.716733251872938e-05,-0.014735459350049496
163,0.00017643108731135726,-0.014965100213885307
164,2.576588940428337e-06,-0.004504719749093056
165,0.0002707870735321194,-0.015078535303473473
